0041	0061	
0042	0062	
0043	0063	
0044	0064	
0045	0065	
0046	0066	
0047	0067	
0048	0068	
0049	0069	
004A	006A	
004B	006B	
004C	006C	
004D	006D	
004E	006E	
004F	006F	
0050	0070	
0051	0071	
0052	0072	
0053	0073	
0054	0074	
0055	0075	
0056	0076	
0057	0077	
0058	0078	
0059	0079	
005A	007A	
0061		0041
0062		0042
0063		0043
0064		0044
0065		0045
0066		0046
0067		0047
0068		0048
0069		0049
006A		004A
006B		004B
006C		004C
006D		004D
006E		004E
006F		004F
0070		0050
0071		0051
0072		0052
0073		0053
0074		0054
0075		0055
0076		0056
0077		0057
0078		0058
0079		0059
007A		005A
00B5		039C
00C0	00E0	
00C1	00E1	
00C2	00E2	
00C3	00E3	
00C4	00E4	
00C5	00E5	
00C6	00E6	
00C7	00E7	
00C8	00E8	
00C9	00E9	
00CA	00EA	
00CB	00EB	
00CC	00EC	
00CD	00ED	
00CE	00EE	
00CF	00EF	
00D0	00F0	
00D1	00F1	
00D2	00F2	
00D3	00F3	
00D4	00F4	
00D5	00F5	
00D6	00F6	
00D8	00F8	
00D9	00F9	
00DA	00FA	
00DB	00FB	
00DC	00FC	
00DD	00FD	
00DE	00FE	
00E0		00C0
00E1		00C1
00E2		00C2
00E3		00C3
00E4		00C4
00E5		00C5
00E6		00C6
00E7		00C7
00E8		00C8
00E9		00C9
00EA		00CA
00EB		00CB
00EC		00CC
00ED		00CD
00EE		00CE
00EF		00CF
00F0		00D0
00F1		00D1
00F2		00D2
00F3		00D3
00F4		00D4
00F5		00D5
00F6		00D6
00F8		00D8
00F9		00D9
00FA		00DA
00FB		00DB
00FC		00DC
00FD		00DD
00FE		00DE
00FF		0178
0100	0101	
0101		0100
0102	0103	
0103		0102
0104	0105	
0105		0104
0106	0107	
0107		0106
0108	0109	
0109		0108
010A	010B	
010B		010A
010C	010D	
010D		010C
010E	010F	
010F		010E
0110	0111	
0111		0110
0112	0113	
0113		0112
0114	0115	
0115		0114
0116	0117	
0117		0116
0118	0119	
0119		0118
011A	011B	
011B		011A
011C	011D	
011D		011C
011E	011F	
011F		011E
0120	0121	
0121		0120
0122	0123	
0123		0122
0124	0125	
0125		0124
0126	0127	
0127		0126
0128	0129	
0129		0128
012A	012B	
012B		012A
012C	012D	
012D		012C
012E	012F	
012F		012E
0130	0069	
0131		0049
0132	0133	
0133		0132
0134	0135	
0135		0134
0136	0137	
0137		0136
0139	013A	
013A		0139
013B	013C	
013C		013B
013D	013E	
013E		013D
013F	0140	
0140		013F
0141	0142	
0142		0141
0143	0144	
0144		0143
0145	0146	
0146		0145
0147	0148	
0148		0147
014A	014B	
014B		014A
014C	014D	
014D		014C
014E	014F	
014F		014E
0150	0151	
0151		0150
0152	0153	
0153		0152
0154	0155	
0155		0154
0156	0157	
0157		0156
0158	0159	
0159		0158
015A	015B	
015B		015A
015C	015D	
015D		015C
015E	015F	
015F		015E
0160	0161	
0161		0160
0162	0163	
0163		0162
0164	0165	
0165		0164
0166	0167	
0167		0166
0168	0169	
0169		0168
016A	016B	
016B		016A
016C	016D	
016D		016C
016E	016F	
016F		016E
0170	0171	
0171		0170
0172	0173	
0173		0172
0174	0175	
0175		0174
0176	0177	
0177		0176
0178	00FF	
0179	017A	
017A		0179
017B	017C	
017C		017B
017D	017E	
017E		017D
017F		0053
0180		0243
0181	0253	
0182	0183	
0183		0182
0184	0185	
0185		0184
0186	0254	
0187	0188	
0188		0187
0189	0256	
018A	0257	
018B	018C	
018C		018B
018E	01DD	
018F	0259	
0190	025B	
0191	0192	
0192		0191
0193	0260	
0194	0263	
0195		01F6
0196	0269	
0197	0268	
0198	0199	
0199		0198
019A		023D
019C	026F	
019D	0272	
019E		0220
019F	0275	
01A0	01A1	
01A1		01A0
01A2	01A3	
01A3		01A2
01A4	01A5	
01A5		01A4
01A6	0280	
01A7	01A8	
01A8		01A7
01A9	0283	
01AC	01AD	
01AD		01AC
01AE	0288	
01AF	01B0	
01B0		01AF
01B1	028A	
01B2	028B	
01B3	01B4	
01B4		01B3
01B5	01B6	
01B6		01B5
01B7	0292	
01B8	01B9	
01B9		01B8
01BC	01BD	
01BD		01BC
01BF		01F7
01C4	01C6	
01C5	01C6	01C4
01C6		01C4
01C7	01C9	
01C8	01C9	01C7
01C9		01C7
01CA	01CC	
01CB	01CC	01CA
01CC		01CA
01CD	01CE	
01CE		01CD
01CF	01D0	
01D0		01CF
01D1	01D2	
01D2		01D1
01D3	01D4	
01D4		01D3
01D5	01D6	
01D6		01D5
01D7	01D8	
01D8		01D7
01D9	01DA	
01DA		01D9
01DB	01DC	
01DC		01DB
01DD		018E
01DE	01DF	
01DF		01DE
01E0	01E1	
01E1		01E0
01E2	01E3	
01E3		01E2
01E4	01E5	
01E5		01E4
01E6	01E7	
01E7		01E6
01E8	01E9	
01E9		01E8
01EA	01EB	
01EB		01EA
01EC	01ED	
01ED		01EC
01EE	01EF	
01EF		01EE
01F1	01F3	
01F2	01F3	01F1
01F3		01F1
01F4	01F5	
01F5		01F4
01F6	0195	
01F7	01BF	
01F8	01F9	
01F9		01F8
01FA	01FB	
01FB		01FA
01FC	01FD	
01FD		01FC
01FE	01FF	
01FF		01FE
0200	0201	
0201		0200
0202	0203	
0203		0202
0204	0205	
0205		0204
0206	0207	
0207		0206
0208	0209	
0209		0208
020A	020B	
020B		020A
020C	020D	
020D		020C
020E	020F	
020F		020E
0210	0211	
0211		0210
0212	0213	
0213		0212
0214	0215	
0215		0214
0216	0217	
0217		0216
0218	0219	
0219		0218
021A	021B	
021B		021A
021C	021D	
021D		021C
021E	021F	
021F		021E
0220	019E	
0222	0223	
0223		0222
0224	0225	
0225		0224
0226	0227	
0227		0226
0228	0229	
0229		0228
022A	022B	
022B		022A
022C	022D	
022D		022C
022E	022F	
022F		022E
0230	0231	
0231		0230
0232	0233	
0233		0232
023A	2C65	
023B	023C	
023C		023B
023D	019A	
023E	2C66	
0241	0242	
0242		0241
0243	0180	
0244	0289	
0245	028C	
0246	0247	
0247		0246
0248	0249	
0249		0248
024A	024B	
024B		024A
024C	024D	
024D		024C
024E	024F	
024F		024E
0250		2C6F
0251		2C6D
0253		0181
0254		0186
0256		0189
0257		018A
0259		018F
025B		0190
0260		0193
0263		0194
0268		0197
0269		0196
026B		2C62
026F		019C
0271		2C6E
0272		019D
0275		019F
027D		2C64
0280		01A6
0283		01A9
0288		01AE
0289		0244
028A		01B1
028B		01B2
028C		0245
0292		01B7
0345		0399
0370	0371	
0371		0370
0372	0373	
0373		0372
0376	0377	
0377		0376
037B		03FD
037C		03FE
037D		03FF
0386	03AC	
0388	03AD	
0389	03AE	
038A	03AF	
038C	03CC	
038E	03CD	
038F	03CE	
0391	03B1	
0392	03B2	
0393	03B3	
0394	03B4	
0395	03B5	
0396	03B6	
0397	03B7	
0398	03B8	
0399	03B9	
039A	03BA	
039B	03BB	
039C	03BC	
039D	03BD	
039E	03BE	
039F	03BF	
03A0	03C0	
03A1	03C1	
03A3	03C3	
03A4	03C4	
03A5	03C5	
03A6	03C6	
03A7	03C7	
03A8	03C8	
03A9	03C9	
03AA	03CA	
03AB	03CB	
03AC		0386
03AD		0388
03AE		0389
03AF		038A
03B1		0391
03B2		0392
03B3		0393
03B4		0394
03B5		0395
03B6		0396
03B7		0397
03B8		0398
03B9		0399
03BA		039A
03BB		039B
03BC		039C
03BD		039D
03BE		039E
03BF		039F
03C0		03A0
03C1		03A1
03C2		03A3
03C3		03A3
03C4		03A4
03C5		03A5
03C6		03A6
03C7		03A7
03C8		03A8
03C9		03A9
03CA		03AA
03CB		03AB
03CC		038C
03CD		038E
03CE		038F
03CF	03D7	
03D0		0392
03D1		0398
03D5		03A6
03D6		03A0
03D7		03CF
03D8	03D9	
03D9		03D8
03DA	03DB	
03DB		03DA
03DC	03DD	
03DD		03DC
03DE	03DF	
03DF		03DE
03E0	03E1	
03E1		03E0
03E2	03E3	
03E3		03E2
03E4	03E5	
03E5		03E4
03E6	03E7	
03E7		03E6
03E8	03E9	
03E9		03E8
03EA	03EB	
03EB		03EA
03EC	03ED	
03ED		03EC
03EE	03EF	
03EF		03EE
03F0		039A
03F1		03A1
03F2		03F9
03F4	03B8	
03F5		0395
03F7	03F8	
03F8		03F7
03F9	03F2	
03FA	03FB	
03FB		03FA
03FD	037B	
03FE	037C	
03FF	037D	
0400	0450	
0401	0451	
0402	0452	
0403	0453	
0404	0454	
0405	0455	
0406	0456	
0407	0457	
0408	0458	
0409	0459	
040A	045A	
040B	045B	
040C	045C	
040D	045D	
040E	045E	
040F	045F	
0410	0430	
0411	0431	
0412	0432	
0413	0433	
0414	0434	
0415	0435	
0416	0436	
0417	0437	
0418	0438	
0419	0439	
041A	043A	
041B	043B	
041C	043C	
041D	043D	
041E	043E	
041F	043F	
0420	0440	
0421	0441	
0422	0442	
0423	0443	
0424	0444	
0425	0445	
0426	0446	
0427	0447	
0428	0448	
0429	0449	
042A	044A	
042B	044B	
042C	044C	
042D	044D	
042E	044E	
042F	044F	
0430		0410
0431		0411
0432		0412
0433		0413
0434		0414
0435		0415
0436		0416
0437		0417
0438		0418
0439		0419
043A		041A
043B		041B
043C		041C
043D		041D
043E		041E
043F		041F
0440		0420
0441		0421
0442		0422
0443		0423
0444		0424
0445		0425
0446		0426
0447		0427
0448		0428
0449		0429
044A		042A
044B		042B
044C		042C
044D		042D
044E		042E
044F		042F
0450		0400
0451		0401
0452		0402
0453		0403
0454		0404
0455		0405
0456		0406
0457		0407
0458		0408
0459		0409
045A		040A
045B		040B
